Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Make Lentil and Raisin Rice With Meatballs	Steps	 (...) * Put the empty boiling pan on the hub. increase the heat. 	Add oil to cover the ______ of the pan.	10. With caution add one or two tea spoon water to sizzling oil.	areas	4	bottom	5	skin	1	bulk	3.5	surface	5
How to Make Money in RuneScape Using the Aviansies Method	Steps	 (...) 2. Go to God Wars Dungeon and take a mith grapple and crossbow with mithril bolts/ 3. Make sure you are wearing an Armadyl armor piece. 	The pendant from the guardians in Temple of Ikov is the cheapest ______.	4. Bring 100 Bones to Peaches tablets, Excalibur, 100 nature runes, 500 fire runes, and the aforementioned mith grapple (Wield Ava's accumulator!)	one	4	equipment	3	source	3	outfit	4.5	gift	4
How to Set a Timex Expedition	Steps.	 	The Timex Expedition is a ______ of digital, outdoor watch that features a stopwatch, alarm clock, and timer.	You can set your Timex Expedition by pressing a series of button combinations on the watch itself.	type	4	market	3	project	2.5	division	3.5	manufacturer	3
How to Take a Horse's Temperature	Steps	 (...) 5. Stand Beside the horse on the near or left hand side, (Mounting side). This is to prevent the horse from spooking, as most horses are trained to be handled on the near side, (mounting, and catching etc). 	Stand close to the horse's ______ to avoid being kicked.	6. Lubricate the equipment with soapy water.	hands	1	flanks	4.5	horse	1.5	rump	5	belly	4
How to Free Pour	Warnings	 *	When fitting the pour spout in the neck of the ______ of the bottle, the pour spout will most likely need to be forcefully pressed into the bottle.	While this is an indication that a good seal has been formed, it may be safest to use a plastic pour spout instead of a metal pour spout, as metal pour spouts may be sharp and cause injury.	neck	2	throat	3.5	dome	2.5	trunk	3	surface	3
How to Trim Rabbit Toenails	Steps	 (...) 3. Find the part of your rabbit's nail that is red. (...) 4. Put the clippers about 1/2 of a centimeter away from the end of the red part. 	Slowly and carefully clip the ______ of the nail.		stump	2	heel	2.5	points	3.5	section	5	tip	4.5
How to Do Your Part to Prevent Ocean Pollution	Steps.	 Reduce your carbon footprint! (...) 1. One person gets their own car. 	If every ______ is driving to the same place, you can only imagine how much we are polluting.	Plus, car-pooling can be a great excuse for being late to the office.	immigrant	2.5	family	3.5	citizen	2	person	5	team	1.5
How to Do a Watercolor of a Beach with Sailboats	Steps	 (...) 12. Add finishing touches. (...) Try to soften many of the hard edges to avoid an outlined look. 13.	Paint the ______ of the boats.	Beneath each of the white sails, make a quick, red or other color stroke with the tip of a round, pointed brush.	roofs	2	bodies	4	windows	2.5	banks	3	interior	5
How to Check if a Company Is Genuine	Warnings	 * Be careful with your information. 	Don't provide any more ______ than is necessary, and use good judgment when giving it out.	If you don't feel 100% sure that the company is genuine, then find another one!	motivation	3	research	2.5	guidance	2.5	information	5	explanation	4.5
How to Cut Down or Quit Marijuana	Being Honest with Yourself	 1. Question your motivation. Whether it is cutting back or quitting, knowing why you are making this change will make it easier for you to stick with it. 	Take the time to think honestly about your motivation for this ______.	* Make sure you are doing this for you.	plan	5	project	1.5	behavior	4.5	choice	5	change	4.5
How to Prepare for UPSC Exam	Approaching Your Mains Exam	 (...) 3. Divide up the syllabi for the 9 essays contained in the Mains exam. Just like the Prelims, your Mains will cover certain topics. 	Unlike the Prelims, this test will question you in essay format, making it a bit more challenging for most ______.	Divide each syllabus into chunks as with your Prelims.	starters	3.5	tests	3	experts	3	professionals	2.5	people	5
How to Prevent Migraines	Steps	 (...) * Eat a healthy, well-balanced diet of fruit, vegetables, whole grains, and quality protein. Eat lots of dark green vegetables such as broccoli, spinach, and kale, as well as eggs, yogurt, and low-fat milk. 	These ______ contain vitamin B which helps prevent migraines.	* Eat foods rich in magnesium, which relaxes blood vessels and ensures proper cell function.	ingredients	3	foods	5	fruits	1.5	changes	2.5	indicators	2.5
How to Get Easy Rupees in Legend of Zelda: A Link to the Past	Warnings.	 A Link to the Past isn't the hardest game of the Zelda series, but like any game, it's tedious to meticulously gather rupees by doing the same thing over and over again. 	With this ______, you'll be able to learn of ways to earn rupees no matter where you are at on the map.	There are not as many methods pertaining to the Dark World; that place is kind of rough anyway...however, the enemies there drop more valuable rupees than the Light World.	puzzle	1.5	mission	2.5	goal	3	novel	2.5	technique	4.5
How to Be a Good Detective	Related wikiHows.	 Are your heroes Sherlock Holmes, Philip Marlowe, and Miss Marple? (...) Well, being a detective takes more than wearing a trench coat and fedora. 	You also need practice, skill and a ______ of bravery.		symbol	3.5	gift	3.5	bout	3	bit	4	culture	3
How to Store a Car	Steps	 (...) 5. Clean and wax the car. (...) Removing the carpets for heated indoor storage will prevent them from becoming musty. 	Do not use Armor All ______ or similar products; these contain water, which may become trapped inside the car.	6. Open a window slightly if stored indoors, but not enough to allow small animals inside.	steel	2	®	3	vehicles	1	paper	1	sorts	1.5
How to Avoid Being a Victim of Bullying	Steps	 (...) 3. Learn how to stick up for yourself. Learn smart replies which you can use if someone makes fun of you. 	Learn how to fight, but use violence only if you're being attacked and as a ______ of self defense.	4. Visualize all the situations in which you were or could be bullied.	mechanism	3.5	system	4	method	5	lot	3	point	4.5
How to Create the Perfect Pokémon in Pokémon X and Y	Preparing and Selecting Your Pokémon	 1. Make sure you have the requirements met before you begin: (...) 	Choose your Pokémon's ______.	When you first get started with IV breeding (which will come up later in these instructions), it is recommended that you begin with a Pokémon found in one of your Friend Safaris (located in Kiloude City).	coloring	4.5	attribute	4	Nature	3.5	opponent	4	statistics	4.5
How to Make a Toy Washing Machine	Steps	 (...) 2. Cut a smaller circle in the door of the washing machine. (...) 3. Cut out a circle from the transparent plastic piece that fits with the circle in the door. 	Use tape to stick it with the circle on the ______ of the door.	4. Use black marker to draw to make it more looks like the real washing machine.	perimeter	4	back	4.5	walls	3	doorway	2	centre	4.5
How to Bandage Fingers or Toes	Fingers	 1. Bandage the wound. Apply disinfectant, and wrap in a layer of sterile gauze. 	Secure with one ______ of medical tape.	2. Make a splint by placing a popsicle stick or slice of stiff cardboard under the injured finger and the finger adjacent to it.	arm	2	section	3	size	1.5	point	3.5	band	3.5
How to Be a Cool Teenager	Steps	 (...) 2. Look good. (...) 3. Compliment people you meet(if you see anything you like). 	Meet ______ of new people and be friendly to them.	4. Be flirty sometimes, smile, look, and talk to your crush.	people	2.5	millions	3	relatives	4.5	lots	5	couples	1.5
How to Prevent Maggots from Getting in the Trash	Warnings	 * Always wash your hands after handling any raw meat waste or product to avoid getting diseases such as Salmonella. Don't lick your hands either. 	The same goes for feces and other forms of animal and human ______.	* Wear gloves when handling a dead animal to avoid the contraction of a disease that might have infected the animal before you touch it.	tissues	1	infections	3	waste	5	stench	3.5	corpses	4
How to Get a Sixth Grade Girl to Notice You	Warnings	 * Don't act nervous. (...) * Make sure you're in sixth grade with her, if your a 40 year old pedophile, you may get rejected. *	College students proceed with a ______ of caution.		tale	2.5	flag	2.5	lot	4	climate	3	gesture	2
How to Deal with Placenta Previa	Part 2: Treating Placenta Previa	 (...) 6. Have a cesarean section if necessary. If your bleeding cannot be controlled, or if you or your baby show signs of considerable distress, your doctor may need to perform a cesarean section. 	This ______ may be necessary even if you are not yet approaching your due date.		division	1.5	cutting	1.5	section	4	step	5	modification	2
How to Draw Orthodox Icons	Steps.	 Icons are common in Eastern Orthodox, Oriental Orthodox and Eastern Catholic churches. (...) Here is how to draw one detail from an Orthodox Icon. 	It is a ______ of the face of the Virgin Mary.		painting	5	diagram	4	drawing	5	silhouette	5	photo	4.5
How to Diagnose Celiac Disease	Identifying the Symptoms	 1. Know the physical symptoms associate with celiac disease. 	Some of the most common ______ include bloating, diarrhea, and frequent pain in the abdomen.	Other symptoms may also be present, such as muscle cramps, pain in the joints, and even tingling in the arms and the legs.	symptoms	5	indicators	4.5	changes	3	disorders	2.5	phenomena	2.5
